Rk,Name,Age,G,GS,MP,FG,FGA,FGPercent,ThreeP,ThreePA,ThreePPercent,TwoP,TwoPA,TwoPPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
1,Michael Jordan,21,82,82,38.3,10.2,19.8,0.515,0.1,0.6,0.173,10.1,19.2,0.526,0.518,7.7,9.1,0.845,2,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2,1984-1985
2,Orlando Woolridge\woolror01,25,77,76,36.6,8.8,15.9,0.554,0,0.1,0,8.8,15.8,0.557,0.554,5.3,6.8,0.785,2.1,3.6,5.6,1.8,0.8,0.5,2.3,2.4,22.9,1984-1985
3,Quintin Dailey\dailequ01,24,79,0,26.6,6.6,14.1,0.473,0.1,0.4,0.233,6.6,13.7,0.479,0.476,2.6,3.2,0.817,0.7,1.9,2.6,2.4,0.9,0.1,1.9,2.4,16,1984-1985
4,Dave Corzine\corzida01,28,82,50,25.1,3.4,6.9,0.486,0,0,0,3.4,6.9,0.487,0.486,1.8,2.4,0.745,1.6,3.6,5.1,1.7,0.4,0.8,1.5,2.3,8.5,1984-1985
5,Dave Greenwood\greenda01,27,61,28,25,2.5,5.4,0.458,0,0,0,2.5,5.4,0.459,0.458,1.1,1.5,0.713,1.8,4.6,6.4,1.3,0.6,0.3,1,3.1,6.1,1984-1985
6,Steve Johnson\johnsst03,27,74,54,22.4,3.8,7,0.545,0,0,0,3.8,6.9,0.548,0.545,2.4,3.4,0.718,2,3.9,5.9,0.9,0.5,0.8,2,3.6,10,1984-1985
7,Caldwell Jones\jonesca01,34,42,32,21.1,1.3,2.7,0.461,0,0,0,1.3,2.7,0.469,0.461,0.9,1.1,0.766,1.2,3.9,5,0.8,0.3,0.7,1,3,3.4,1984-1985
8,Ennis Whatley\whatlen01,22,70,44,19.8,2,4.5,0.447,0,0.1,0.111,2,4.3,0.457,0.449,1,1.2,0.791,0.5,1,1.4,5.4,0.9,0.1,2.1,2,5,1984-1985
9,Wes Matthews\matthwe01,25,78,38,19.5,2.4,4.9,0.495,0,0.2,0.125,2.4,4.7,0.511,0.497,0.8,1.1,0.694,0.2,0.7,0.9,4.5,0.9,0.2,1.6,1.7,5.7,1984-1985
10,Jawann Oldham\oldhaja01,27,63,0,15.8,1.4,3,0.464,0,0,0,1.4,3,0.466,0.464,0.5,0.8,0.68,1.3,2.5,3.7,0.5,0.2,2,0.9,2.6,3.4,1984-1985
11,Sidney Green\greensi02,24,48,1,15.4,2.3,5.2,0.432,0,0.1,0,2.3,5.1,0.439,0.432,1.6,2,0.806,1.5,3.6,5.1,0.6,0.2,0.3,1.4,2.1,6.1,1984-1985
12,Rod Higgins\higgiro01,25,68,5,13.9,1.8,4,0.441,0.1,0.5,0.27,1.6,3.4,0.468,0.459,0.9,1.3,0.667,0.8,1.4,2.2,1.1,0.3,0.2,0.7,1.3,4.5,1984-1985
13,Charles Jones\jonesch01,27,3,0,9.7,0.7,1.3,0.5,0,0,,0.7,1.3,0.5,0.5,1.3,2,0.667,0.7,1.3,2,0.3,0,1.7,1.3,2,2.7,1984-1985
14,Chris Engler\englech01,25,3,0,1,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0.3,0.3,0.7,0,0,0,0.3,0.3,0.7,1984-1985
1,Orlando Woolridge\woolror01,26,70,59,32.1,7.7,15.6,0.495,0.1,0.3,0.174,7.7,15.2,0.502,0.497,5.2,6.6,0.788,2.1,2.9,5,3,0.7,0.7,2.5,2.7,20.7,1985-1986
2,Kyle Macy\macyky01,28,82,79,29.6,3.5,7.2,0.483,0.7,1.7,0.411,2.8,5.5,0.506,0.532,0.9,1.1,0.811,0.5,1.7,2.2,5.4,1,0.1,1.4,2.5,8.6,1985-1986
3,Sidney Green\greensi02,25,80,68,28.8,5.1,10.9,0.465,0,0.1,0,5.1,10.8,0.469,0.465,3.3,4.2,0.782,2.6,5.6,8.2,1.7,0.9,0.5,2.8,3.7,13.5,1985-1986
4,Gene Banks\banksge01,26,82,33,26.1,4.3,8.4,0.517,0,0.2,0,4.3,8.2,0.532,0.517,2.2,3.1,0.718,2.2,2.2,4.4,3.1,1,0.1,1.7,2.6,10.9,1985-1986
5,Dave Corzine\corzida01,29,67,4,25.5,3.8,7.7,0.491,0,0.2,0.25,3.8,7.6,0.497,0.494,1.9,2.6,0.743,2,4.5,6.5,2.2,0.4,0.8,1.6,2,9.6,1985-1986
6,George Gervin\gervige01,33,82,75,25.2,6.3,13.4,0.472,0,0.2,0.211,6.3,13.2,0.476,0.474,3.5,3.9,0.879,1,1.7,2.6,1.8,0.6,0.3,2,2.6,16.2,1985-1986
7,Michael Jordan,22,18,7,25.1,8.3,18.2,0.457,0.2,1,0.167,8.2,17.2,0.474,0.462,5.8,6.9,0.84,1.3,2.3,3.6,2.9,2.1,1.2,2.5,2.6,22.7,1985-1986
8,Jawann Oldham\oldhaja01,28,52,47,24.5,3.2,6.2,0.517,0,0,0,3.2,6.2,0.519,0.517,1,1.8,0.582,2.2,3.7,5.9,0.7,0.5,2.6,1.7,4,7.4,1985-1986
9,Charles Oakley\oaklech01,22,77,30,23,3.6,7,0.519,0,0,0,3.6,7,0.522,0.519,2.3,3.5,0.662,3.3,5.3,8.6,1.7,0.9,0.4,2.3,3.2,9.6,1985-1986
10,John Paxson\paxsojo01,25,75,3,20.9,2,4.4,0.466,0.2,0.7,0.3,1.8,3.7,0.496,0.489,1,1.2,0.804,0.2,1,1.3,3.7,0.7,0,0.8,2.3,5.3,1985-1986
11,Quintin Dailey\dailequ01,25,35,0,20.7,5.8,13.4,0.432,0,0.2,0,5.8,13.2,0.439,0.432,4.7,5.7,0.823,0.6,1.4,1.9,1.9,0.6,0.1,1.9,2.5,16.3,1985-1986
12,Mike Holton\holtomi01,24,24,0,18.6,3,6.5,0.471,0,0.4,0.1,3,6,0.497,0.474,1,1.6,0.632,0.4,0.8,1.3,2,1,0,1,1.7,7.1,1985-1986
13,Rod Higgins\higgiro01,26,5,0,16.2,1.8,4.6,0.391,0,0.2,0,1.8,4.4,0.409,0.391,1,1.2,0.833,0.6,0.8,1.4,1,0.8,0.6,0.4,2.2,4.6,1985-1986
14,Tony Brown\brownto01,25,10,0,13.2,1.8,4.1,0.439,0,0.2,0,1.8,3.9,0.462,0.439,0.9,1.3,0.692,0.5,1.1,1.6,1.4,0.5,0.1,0.4,1.6,4.5,1985-1986
15,Mike Smrek\smrekmi01,23,38,5,10.7,1.2,3.2,0.377,0,0.1,0,1.2,3.2,0.383,0.377,0.4,0.8,0.552,1.2,1.7,2.9,0.5,0.2,0.6,0.8,2.5,2.8,1985-1986
16,Billy McKinney\mckinbi01,30,9,0,9.2,1.1,2.6,0.435,0,0,,1.1,2.6,0.435,0.435,0.2,0.2,1,0.1,0.4,0.6,1.4,0.3,0,0.2,1,2.4,1985-1986
17,Ron Brewer\brewero01,30,4,0,4.5,0.8,2.3,0.333,0,0,,0.8,2.3,0.333,0.333,0.3,0.3,1,0,0,0,0,0,0,0.5,0.3,1.8,1985-1986
1,Michael Jordan,23,82,82,40,13.4,27.8,0.482,0.1,0.8,0.182,13.2,27,0.491,0.484,10.2,11.9,0.857,2,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,1986-1987
2,Charles Oakley\oaklech01,23,82,81,36.3,5.7,12.8,0.445,0.1,0.4,0.367,5.6,12.5,0.447,0.45,3,4.4,0.686,3.6,9.5,13.1,3.6,1,0.4,3.6,3.8,14.5,1986-1987
3,John Paxson\paxsojo01,26,82,64,32.8,4.7,9.7,0.487,0.6,1.7,0.371,4.1,8,0.511,0.52,1.3,1.6,0.809,0.3,1.4,1.7,5.7,0.8,0.1,1.3,2.5,11.3,1986-1987
4,Gene Banks\banksge01,27,63,39,28.9,4,7.3,0.539,0,0.1,0,4,7.3,0.545,0.539,1.8,2.3,0.767,1.8,3.1,4.9,2.7,0.8,0.3,1.8,2.7,9.7,1986-1987
5,Dave Corzine\corzida01,30,82,39,27.9,3.6,7.5,0.475,0,0.1,0,3.6,7.5,0.479,0.475,1.2,1.6,0.736,2.4,4.2,6.6,2.5,0.5,1.1,1.4,2.5,8.3,1986-1987
